#,Season,Name,Team,ERA,FIP,GB%,WAR,xFIP,WPA,K%,BB%,K-BB%,xERA
93,2006,Zach Jackson,MIL,5.54,5.61,46.60%,0.1,5.26,-0.79,11.40%,8.00%,3.40%,
94,2006,Alay Soler,NYM,6,5.61,41.50%,0,5.62,-0.53,11.10%,10.10%,1.00%,
95,2006,Paul Maholm,PIT,4.76,4.81,53.00%,1.4,4.59,-0.94,14.80%,10.30%,4.60%,
96,2006,Justin Verlander,DET,3.63,4.35,41.90%,2.8,4.42,2.21,16.00%,7.70%,8.20%,
97,2006,Jeremy Sowers,CLE,3.57,4.57,48.30%,0.9,4.54,0.89,9.70%,5.60%,4.20%,
98,2007,Joel Hanrahan,WSN,6.02,6.14,30.80%,-0.2,5.52,-0.8,17.20%,15.10%,2.10%,
99,2007,Chris Sampson,HOU,4.64,5.48,47.50%,0.3,4.92,-0.29,9.20%,5.30%,3.90%,
100,2007,Chris Young,SDP,3.12,3.43,29.10%,4.3,4.44,2.2,23.70%,10.20%,13.50%,
101,2007,Matt Garza,MIN,3.78,4.23,46.60%,1.1,4.45,0.13,18.40%,8.90%,9.50%,
102,2007,Ubaldo Jiménez,COL,4.28,4.74,46.40%,0.9,4.49,0.56,19.20%,10.50%,8.80%,
103,2007,Kason Gabbard,2 Tms,4.65,4.94,54.90%,0.4,4.74,0.29,16.00%,11.90%,4.10%,
104,2007,Brian Burres,BAL,5.69,4.86,37.20%,1,4.97,-0.1,16.30%,10.50%,5.80%,
105,2007,Jesse Litsch,TOR,3.81,5.14,48.10%,0.6,4.96,0.64,10.50%,7.50%,2.90%,
106,2007,Bobby Livingston,CIN,5.27,4.61,42.10%,0.8,4.39,-0.34,10.80%,3.20%,7.60%,
107,2007,Shane Youman,PIT,6.64,4.53,38.80%,0.5,5.61,-0.91,9.90%,10.50%,-0.50%,
108,2007,Edinson Volquez,TEX,4.5,4.56,38.20%,0.5,4.55,-0.19,19.50%,10.10%,9.40%,
109,2007,Micah Owings,ARI,4.32,4.82,37.40%,1.7,4.71,-0.15,16.60%,7.80%,8.80%,
110,2007,Matt Albers,HOU,5.71,5.51,48.90%,0.2,4.85,-1.15,13.70%,8.70%,5.00%,
